Artist and Title,Days,T10,Pk,(x?),PkStreams,Total
Miriam Bryant-One Last Time,9,,150,,"246,887","2,018,230"
Why Don't We-Feliz Navidad - Recorded at Spotify Studios NYC,2,,122,,"1,212,196","2,017,932"
Ghali-Cara Italia,3,,131,,"814,395","2,017,829"
Likybo-Kraazy,3,,179,,"706,234","2,016,671"
Loredana-ROMEO & JULIET,3,,174,,"746,039","2,016,123"
Logic-Grandpa's Space Ship,2,,61,,"1,293,999","2,015,165"
Jack Harlow-Like A Blade Of Grass,2,,115,,"1,194,320","2,014,139"
6ix9ine-DUMMY,2,,69,,"1,174,034","2,013,406"
Fivio Foreign-Paris to Tokyo,2,,96,,"1,173,096","2,012,885"
Coldplay-Hypnotised,3,,69,,"1,038,913","2,012,426"
Matheus & Kauan-Pactos - Ao Vivo,2,,140,,"1,008,308","2,008,698"
Chance the Rapper-Handsome,3,,130,,"804,660","2,002,817"
Hozier-Wildflower and Barley,1,,80,,"2,002,281","2,002,281"
Selena Gomez-Cut You Off,2,,90,,"1,144,966","1,999,060"
ZAYN-rEaR vIeW,6,,80,,"510,375","1,998,588"
Yeat-Psycho CEO,1,,64,,"1,998,550","1,998,550"
Joey Bada$$-Devastated,4,,160,,"589,062","1,997,581"
Agust D-Strange,2,,67,,"1,262,692","1,997,552"
Drake-6PM In New York,8,,118,,"355,653","1,997,381"
TOOL-Pneuma,2,,65,,"1,222,055","1,995,505"
PNL-Chang,2,,83,,"1,287,029","1,995,383"
Beyoncé-Pray You Catch Me,2,,72,,"1,155,602","1,992,817"
A$AP Rocky-CALLDROPS,2,,59,,"1,310,992","1,992,385"
Rex Orange County-OPEN A WINDOW,2,,81,,"1,198,046","1,988,365"
Future-Trapped In The Sun,2,,58,,"1,322,926","1,985,517"
iann dior-thought it was,2,,78,,"1,188,345","1,980,959"
Lil Uzi Vert-Spin Again,1,,69,,"1,979,925","1,979,925"
Frank Ocean-Dear April (Side A - Acoustic),2,,58,,"1,269,545","1,977,515"
Paulo Londra-Homerun (Intro),3,,185,,"720,582","1,976,895"
Melanie Martinez-Show & Tell,3,,158,,"700,180","1,975,118"
Priory-Weekend,14,,172,,"153,066","1,974,570"
Arctic Monkeys-Science Fiction,2,,63,,"1,301,772","1,973,529"
NF-LOST,2,,79,,"1,174,473","1,973,245"
Bee Gees-Stayin' Alive,3,,119,,"848,713","1,973,004"
Future-Real Baby Pluto,2,,78,,"1,223,887","1,971,790"
The Beatles-Twist And Shout - Remastered,5,,130,,"626,247","1,971,716"
Arctic Monkeys-She Looks Like Fun,2,,62,,"1,303,493","1,971,153"
Brent Faiyaz-Gravity,2,,78,,"1,134,238","1,970,820"
Trippie Redd-!,2,,56,,"1,266,004","1,969,789"
Miriam Bryant-Allt jag behöver,8,,177,,"267,247","1,969,742"
Agust D-Moonlight,2,,63,,"1,276,241","1,969,351"
PNL-MOWGLI II,2,,68,,"1,141,714","1,967,738"
Dave-Verdansk,2,,86,,"1,196,011","1,967,587"
Eminem-Alfred - Outro,2,,120,,"1,109,336","1,967,538"
Polo G-Party Lyfe,2,,105,,"1,172,131","1,965,971"
Future-PLUTOSKI,1,,74,,"1,962,897","1,962,897"
Myke Towers-La Playa,3,,191,,"675,121","1,960,777"
Trippie Redd-MP5,2,,85,,"1,193,232","1,960,707"
88-Keys-That's Life,2,,65,,"1,307,627","1,957,360"
La Maquinaria Norteña-Eres Ese Algo,2,,193,,"1,034,528","1,956,999"
Kehlani-Can I,2,,69,,"1,201,846","1,956,425"
Tate McRae-what would you do?,2,,130,,"1,098,352","1,955,795"
DaBaby-GOSPEL,2,,67,,"1,212,637","1,955,580"
Daft Punk-Harder Better Faster Stronger,2,,67,,"1,127,828","1,952,941"
A$AP Ferg-Plain Jane REMIX,4,,190,,"495,287","1,949,784"
Post Malone-Don't Understand,1,,75,,"1,949,196","1,949,196"
Lil Uzi Vert-Died and Came Back,1,,74,,"1,947,137","1,947,137"
Martin Garrix-Pressure,2,,75,,"1,148,856","1,947,021"
Shiva-Soldi in Nero,2,,59,,"1,152,526","1,946,984"
Stray Kids-Lose My Breath (Feat. Charlie Puth),1,,79,,"1,946,241","1,946,241"
Foo Fighters-Run,3,,112,,"762,764","1,944,663"
Drake-Stories About My Brother,1,,55,,"1,943,762","1,943,762"
Aretha Franklin-(You Make Me Feel Like) A Natural Woman,2,,78,,"1,001,492","1,942,445"
21 Savage-Run Up the Racks,3,,121,,"708,736","1,941,150"
Rocco Hunt-A Un Passo Dalla Luna,3,,190,,"681,864","1,940,408"
TOMORROW X TOGETHER-Opening Sequence,2,,109,,"1,025,158","1,938,509"
Summer Walker-Ex For A Reason,2,,87,,"1,142,328","1,938,371"
Coldplay-Birds,6,,103,,"421,967","1,937,884"
Amanda Jenssen-When We Dig for Gold In the USA,13,,119,,"170,602","1,935,584"
Sam Smith-Love Me More,2,,108,,"1,107,370","1,930,677"
Linkin Park-Nobody Can Save Me,3,,91,,"939,852","1,930,278"
Lil Baby-Business Is Business (Lil Baby & Gunna),2,,72,,"1,262,281","1,928,048"
Luciano-Never Know,2,,90,,"1,165,254","1,926,444"
Subwoolfer-Give That Wolf A Banana,2,,117,,"1,041,559","1,925,441"
Beyoncé-All Night,2,,91,,"1,023,224","1,925,174"
Sfera Ebbasta-VDLC,1,,56,,"1,924,835","1,924,835"
Twenty One Pilots-The Outside,2,,102,,"1,137,901","1,923,990"
Nick Jonas-Right Now,3,,116,,"829,379","1,923,717"
BTS-All Night (BTS World Original Soundtrack) [Pt. 3],2,,70,,"1,248,857","1,921,011"
Guayna-ReBoTa,3,,161,,"702,106","1,920,749"
Orelsan-L'odeur de l'essence,2,,111,,"1,085,312","1,920,388"
PNL-Blanka,2,,93,,"1,214,969","1,919,430"
Huncho Jack-Saint Laurent Mask,2,,68,,"1,193,195","1,918,795"
Cornelia Jakobs-Hold Me Closer,2,,105,,"1,153,782","1,915,776"
AWOLNATION-I'm On Fire,10,,134,,"225,350","1,908,422"
Twenty One Pilots-Car Radio,7,,193,,"285,191","1,906,237"
Nicki Minaj-Chun Swae,3,,123,,"755,596","1,903,901"
Andrew Gold-The Addams Family,1,,92,,"1,903,633","1,903,633"
Fifth Harmony-Angel,3,,87,,"847,879","1,903,019"
Playboi Carti-Over,2,,171,,"1,187,046","1,902,895"
Wizkid-Kese (Dance),1,,87,,"1,902,886","1,902,886"
Megan Thee Stallion-Plan B,2,,88,,"1,091,329","1,902,372"
Russ-Civil War,3,,191,,"642,825","1,901,185"
Selena Gomez-Revival,7,,90,,"406,419","1,901,162"
Future-Jealous,1,,72,,"1,899,837","1,899,837"
Agust D-Burn It,2,,73,,"1,178,015","1,899,663"
Young T & Bugsey-Don't Rush,3,,186,,"641,845","1,898,528"
Ariana Grande-Sometimes,6,,170,,"338,889","1,897,029"
DaBaby-POP STAR,2,,69,,"1,192,146","1,896,736"
Irama-Mediterranea,3,,177,,"660,358","1,896,550"
Tame Impala-Posthumous Forgiveness,2,,99,,"1,144,265","1,895,336"
Demi Lovato-29,2,,115,,"1,075,876","1,895,315"
Rammstein-ZEIG DICH,2,,82,,"1,190,485","1,895,137"
Joji-TEST DRIVE,3,,144,,"757,910","1,894,526"
Avicii-Talk To Myself,7,,76,,"468,890","1,890,396"
A$AP Rocky-Gunz N Butter,2,,69,,"1,204,447","1,890,289"
Nicki Minaj-Barbie Dangerous,1,,75,,"1,888,890","1,888,890"
Twenty One Pilots-Overcompensate,1,,64,,"1,887,608","1,887,608"
Lil Yachty-Yacht Club,3,,177,,"692,074","1,887,040"
Maroon 5-Whiskey,3,,82,,"943,711","1,882,357"
Russ-BEST ON EARTH,3,,171,,"662,932","1,881,857"
PNL-A l'Ammoniaque,3,,133,,"679,113","1,881,136"
Ed Sheeran-Sandman,2,,109,,"1,059,080","1,880,662"
Stray Kids-MOUNTAINS,1,,81,,"1,879,895","1,879,895"
Mac Miller-2009,3,,131,,"745,856","1,879,443"
XXXTENTACION-Introduction (instructions),2,,84,,"1,054,461","1,879,061"
Rammstein-Zeit,2,,128,,"943,594","1,878,781"
XXXTENTACION-The Explanation,3,,140,,"690,505","1,876,958"
Tiësto-Red Lights,14,,177,,"197,204","1,876,585"
Mora-EL CHACAL,1,,60,,"1,875,290","1,875,290"
6ix9ine-WONDO,2,,75,,"1,105,807","1,875,183"
Future-READY TO COOK UP,1,,80,,"1,874,665","1,874,665"
A Tribe Called Quest-We The People....,5,,135,,"402,606","1,874,647"
A$AP Rocky-Jukebox Joints,7,,81,,"384,190","1,874,535"
Mac Miller-Funny Papers,1,,88,,"1,873,957","1,873,957"
Krept & Konan-Freak Of The Week,9,,133,,"246,541","1,873,439"
Nas-Adam and Eve,3,,119,,"706,988","1,873,302"
NF-JUST LIKE YOU,2,,92,,"1,079,171","1,870,500"
Roddy Ricch-25 million,2,,142,,"979,096","1,869,476"
Young Thug-Gang Up,4,,175,,"486,747","1,868,001"
Prince-Stare,4,,57,,"786,306","1,867,651"
J. Cole-03' Adolescence,10,,100,,"271,305","1,867,154"
Tiësto-On My Way,4,,109,,"637,395","1,867,031"
Agust D-D-Day,1,,61,,"1,866,836","1,866,836"
Rauw Alejandro-Espresso Martini,1,,92,,"1,866,325","1,866,325"
Whitney Houston-Do You Hear What I Hear?,1,,146,,"1,864,928","1,864,928"
Drake-The Shoe Fits,1,,61,,"1,864,698","1,864,698"
Morgan Wallen-Warning,2,,110,,"1,007,495","1,858,863"
Lana Del Rey-Bluebird,1,,60,,"1,858,576","1,858,576"
Agust D-28,2,,75,,"1,168,789","1,856,654"
One Direction-Spaces,10,,102,,"241,177","1,856,130"
Diego & Victor Hugo-Beijo de Glicose - Ao Vivo,2,,191,,"947,586","1,854,616"
PnB Rock-MIDDLE CHILD,3,,172,,"666,105","1,853,868"
Avicii-Feeling Good,9,,118,,"278,673","1,852,488"
Pop Smoke-Diana,2,,101,,"1,072,778","1,851,645"
SZA-Love Me 4 Me,1,,121,,"1,850,974","1,850,974"
PNL-Hasta la vista,2,,100,,"1,164,500","1,848,720"
Capital Bra-100k Cash,2,,97,,"1,073,395","1,847,594"
Morgan Wallen-I'm A Little Crazy,1,,75,,"1,845,242","1,845,242"
Rae Sremmurd-T'd Up,3,,154,,"708,514","1,845,148"
Ellie Goulding-Lost And Found,7,,84,,"416,003","1,843,105"
Selena Gomez-Scared Of Loving You,1,,112,,"1,842,227","1,842,227"
Lauv-Invisible Things,2,,135,,"1,016,309","1,841,703"
Kygo-Hot Stuff,2,,89,,"1,127,509","1,841,298"
Logic-44 Bars,6,,155,,"350,067","1,840,753"
XXXTENTACION-Ex Bitch,2,,107,,"1,048,424","1,840,704"
Ed Sheeran-Shape of You - Acoustic,4,,179,,"485,086","1,839,382"
Miley Cyrus-Night Crawling,2,,131,,"1,014,204","1,838,440"
Migos-Jane,2,,127,,"1,049,354","1,834,714"
Selena Gomez-Younger And Hotter Than Me,1,,76,,"1,833,043","1,833,043"
DaBaby-CHAMPION,2,,72,,"1,167,900","1,832,922"
Arctic Monkeys-Batphone,2,,70,,"1,198,964","1,831,585"
Agust D-AMYGDALA,1,,66,,"1,831,147","1,831,147"
Aretha Franklin-Think,2,,88,,"942,393","1,829,900"
Lil Uzi Vert-Nakamura,1,,89,,"1,827,750","1,827,750"
EXO-Tempo,3,,165,,"631,054","1,826,873"
Riad Mostan-Phir Aur Kya Chahiye,1,,68,,"1,826,324","1,826,324"
Bring Me The Horizon-Teardrops,2,,106,,"1,006,022","1,825,729"
Rema-Baby (Is it a Crime),1,,94,,"1,825,719","1,825,719"
Huncho Jack-Go,2,,71,,"1,154,317","1,823,762"
Luis Miguel-Culpable O No - Miénteme Como Siempre,3,,168,,"618,682","1,823,239"
BTS-Blood Sweat & Tears,3,,123,,"1,176,834","1,822,641"
Nas-everything,3,,122,,"697,548","1,821,280"
RM-Change pt.2,1,,80,,"1,820,488","1,820,488"
ROSÉ-gameboy,1,,110,,"1,819,459","1,819,459"
Selena Gomez-Fun,2,,99,,"1,082,139","1,816,271"
NAV-Young Wheezy,2,,110,,"1,001,299","1,812,348"
Arctic Monkeys-The Ultracheese,2,,73,,"1,179,368","1,812,066"
¥$-TIME MOVING SLOW,1,,81,,"1,811,990","1,811,990"
J. Cole-Pi,1,,87,,"1,810,926","1,810,926"
The 1975-If You’re Too Shy (Let Me Know) - Edit,2,,67,,"1,137,961","1,809,328"
S10-De Diepte,2,,128,,"956,394","1,807,110"
Future-Seen it All,1,,93,,"1,806,891","1,806,891"
Bonnie Tyler-Total Eclipse of the Heart,2,,139,,"1,355,954","1,806,723"
Megan Thee Stallion-Circles,2,,122,,"1,061,317","1,806,635"
BTS-Epiphany,3,,157,,"678,432","1,806,165"
Justin Bieber-Yummy - Summer Walker Remix,2,,117,,"1,054,240","1,803,406"
The Beatles-Love Me Do - Remastered,4,,81,,"674,354","1,801,152"
Morgan Wallen-Falling Apart,1,,85,,"1,800,871","1,800,871"
Juice WRLD-Big,2,,89,,"1,109,249","1,800,425"
Panic! At The Disco-LA Devotee,7,,151,,"270,587","1,799,353"
Miley Cyrus-Gimme What I Want,2,,138,,"994,592","1,798,351"
Nat King Cole-The Happiest Christmas Tree - 2009 Digital Remaster,4,,122,,"726,518","1,797,954"
Lana Del Rey-hope is a dangerous thing for a woman like me to have - but I have it,2,,72,,"1,168,725","1,797,371"
Agust D-People,2,,87,,"1,102,578","1,797,183"
Avril Lavigne-Bite Me,2,,148,,"993,845","1,797,069"
The Game-Don't Shoot,2,,66,,"1,152,106","1,794,828"
Joji-Upgrade,2,,107,,"1,044,896","1,794,410"
Pusha T-Neck & Wrist,2,,123,,"981,198","1,794,113"
Gunna-ARGENTINA,2,,78,,"1,131,488","1,791,727"
Dua Lipa-End Of An Era,1,,91,,"1,791,147","1,791,147"
Imagine Dragons-Boomerang,2,,97,,"1,091,271","1,789,642"
Rammstein-Zick Zack,2,,165,,"929,134","1,789,037"
Rauw Alejandro-Committed,1,,100,,"1,788,953","1,788,953"
Bing Crosby-The Little Drummer Boy - Remastered 2006,2,,148,,"1,283,390","1,788,070"
Burl Ives-Christmas Child,1,,97,,"1,787,960","1,787,960"
A$AP Rocky-Ruby Rosary,1,,83,,"1,787,666","1,787,666"
Logic-Soul Food II,2,,111,,"1,097,474","1,787,596"
RM-Forg_tful,1,,82,,"1,787,229","1,787,229"
Tim Berg-Seek Bromance - Avicii Vocal Edit,2,,82,,"1,205,113","1,786,542"
Lil Yachty-Who Want The Smoke?,3,,164,,"644,834","1,785,919"
blackbear-if i were u,2,,86,,"1,079,057","1,785,236"
Trippie Redd-Toxic Waste,2,,84,,"1,138,968","1,785,035"
Childish Gambino-California,3,,75,,"858,557","1,784,265"
Future-Never Stop,2,,81,,"1,134,120","1,782,850"
Jhené Aiko-Happiness Over Everything (H.O.E.),2,,136,,"1,009,007","1,782,328"
Foo Fighters-The Sky Is A Neighborhood,3,,123,,"687,789","1,780,682"
David Bowie-Rebel Rebel - 1999 Remastered Version,4,,65,,"612,653","1,779,709"
Ufo361-Gib Gas,2,,98,,"1,094,174","1,777,656"
Future-WTFYM,1,,98,,"1,776,011","1,776,011"
J. Cole-False Prophets,3,,111,,"607,946","1,775,759"
Samra-Rohdiamant ٢٠٢٠,2,,123,,"1,055,008","1,774,510"
A Boogie Wit da Hoodie-Stain,2,,132,,"1,002,919","1,774,060"
DaBaby-iPHONE,2,,89,,"1,084,067","1,773,772"
Gorillaz-Let Me Out,3,,128,,"668,769","1,771,352"
Playboi Carti-BACKR00MS,1,,78,,"1,768,230","1,768,230"
Sfera Ebbasta-Ciao Bella,1,,66,,"1,768,081","1,768,081"
Halsey-Finally // beautiful stranger,2,,128,,"953,495","1,764,623"
TOOL-Invincible,2,,98,,"1,061,593","1,763,026"
Sleep Token-Past Self,1,,92,,"1,760,979","1,760,979"
Rauw Alejandro-Baja Pa' Acá,1,,107,,"1,760,466","1,760,466"
PARTYNEXTDOOR-CELIBACY,1,,118,,"1,760,453","1,760,453"
Peso Pluma-RELOJ,1,,88,,"1,759,068","1,759,068"
Wesley Safadão-Romance Com Safadeza,3,,186,,"592,906","1,758,557"
The Beatles-Help! - Remastered,4,,84,,"654,922","1,756,106"
Childish Gambino-Have Some Love,3,,74,,"878,917","1,755,762"
mgk-drunk face,2,,117,,"1,003,765","1,755,443"
Metro Boomin-10AM/Save The World,2,,75,,"1,123,015","1,753,680"
New Politics-Everywhere I Go (Kings and Queens),12,,126,,"166,387","1,752,905"
A$AP Rocky-OG Beeper,2,,80,,"1,105,217","1,750,954"
Mc Don Juan-EU VOU COM CARINHO ELA QUER COM FORÇA,2,,185,,"877,164","1,750,629"
Avril Lavigne-Dumb Blonde,2,,98,,"1,058,773","1,750,446"
Taylor Swift-If This Was A Movie (Taylor’s Version),1,,79,,"1,746,877","1,746,877"
Zach Bryan-El Dorado,1,,79,,"1,746,583","1,746,583"
Future-No Cap,3,,110,,"762,728","1,745,635"
EXO-Don't fight the feeling,2,,114,,"901,700","1,744,527"
Tee Grizzley-Jettski Grizzley,3,,178,,"587,885","1,744,513"
Eladio Carrion-Vetements,1,,85,,"1,743,707","1,743,707"
Stray Kids-JJAM,1,,103,,"1,742,922","1,742,922"
Wizkid-Piece of My Heart,1,,90,,"1,742,488","1,742,488"
Khalid-Skyline,2,,159,,"899,383","1,740,931"
Freddy Kalas-Pinne for Landet,11,,167,,"173,814","1,740,773"
Future-Ridin Strikers,2,,82,,"1,097,398","1,740,697"
Stray Kids-TOPLINE (Feat. Tiger JK),1,,83,,"1,736,014","1,736,014"
Lady Gaga-The Beast,1,,100,,"1,735,902","1,735,902"
Kelly Clarkson-Run Run Run,9,,127,,"237,956","1,734,932"
Rammstein-AUSLÄNDER,2,,107,,"1,050,174","1,733,858"
Lost Frequencies-Beautiful Life,6,,176,,"312,775","1,732,929"
Eminem-Guess Who’s Back - skit,1,,113,,"1,732,742","1,732,742"
"Lil Uzi Vert-Mama, I’m Sorry",1,,95,,"1,730,940","1,730,940"
Migos-Crown the Kings,2,,84,,"1,069,197","1,730,741"
Trippie Redd-YELL OH,2,,108,,"982,766","1,730,738"
Coldplay-ALL MY LOVE,1,,105,,"1,727,821","1,727,821"
Coldplay-All I Can Think About Is You,2,,85,,"872,827","1,727,819"
Logic-100 Miles and Running (ft. Wale & John Lindahl),2,,101,,"1,047,823","1,725,745"
Blueface-Daddy,3,,196,,"596,968","1,725,271"
Natanael Cano-Pancake,1,,98,,"1,724,821","1,724,821"
Fall Out Boy-Irresistible,10,,121,,"220,932","1,724,729"
Beyoncé-Love Drought,2,,102,,"951,797","1,722,872"
Post Malone-Goes Without Saying (Feat. Brad Paisley),1,,104,,"1,722,354","1,722,354"
Bring Me The Horizon-Throne,7,,130,,"290,084","1,721,410"
George Michael-Freedom! '90,3,,51,,"845,683","1,720,873"
YoungBoy Never Broke Again-My Window,2,,103,,"972,920","1,720,167"
ROSÉ-stay a little longer,1,,129,,"1,717,521","1,717,521"
DaBaby-REALLY,2,,92,,"1,063,934","1,717,360"
Huncho Jack-Moon Rock,2,,82,,"1,071,497","1,717,193"
Migos-Brown Paper Bag,4,,157,,"494,791","1,716,574"
Kenny Rogers-The Gambler,2,,84,,"1,091,026","1,716,388"
J. Cole-January 28th,9,,98,,"271,989","1,715,992"
Zach Bryan-Jake's Piano - Long Island,1,,84,,"1,712,848","1,712,848"
Bryson Tiller-Self-Made,3,,119,,"753,518","1,711,723"
Joji-NITROUS,2,,128,,"963,347","1,710,070"
21 Savage-Still Serving,3,,139,,"625,681","1,709,650"
6LACK-Ex Calling,4,,179,,"459,694","1,707,309"
Young Thug-Money On Money,1,,85,,"1,706,294","1,706,294"
Kings of Leon-Find Me,4,,77,,"662,222","1,706,018"
Mumford & Sons-Just Smoke,7,,97,,"305,711","1,705,513"
Megan Thee Stallion-Don’t Stop,2,,148,,"920,766","1,705,066"
Jimin-Interlude : Showtime,1,,109,,"1,704,319","1,704,319"
Travis Scott-Days Before Rodeo: The Prayer,1,,110,,"1,703,786","1,703,786"
Future-Red Bentley,2,,84,,"1,134,021","1,703,514"
Post Malone-Novacandy,1,,94,,"1,697,226","1,697,226"
Lil Uzi Vert-Meteor Man,1,,106,,"1,696,125","1,696,125"
RM-Hectic,1,,89,,"1,696,086","1,696,086"
Swae Lee-Someone Said,2,,123,,"952,857","1,695,778"
Nirvana-Smells Like Teen Spirit - Remastered 2021,2,,171,,"898,695","1,695,714"
Charli xcx-Doing It,10,,144,,"198,035","1,695,431"
"Tyler, The Creator-WHARF TALK",1,,83,,"1,693,646","1,693,646"
Talking Heads-Psycho Killer - 2005 Remastered Version,1,,122,,"1,693,214","1,693,214"
Porky Slim-Space Legend,2,,129,,"915,017","1,693,166"
"Morgan Wallen-Skoal, Chevy, and Browning",1,,97,,"1,692,530","1,692,530"
Juice WRLD-Make It Back,2,,87,,"1,097,080","1,691,370"
SZA-Chill Baby,1,,144,,"1,689,036","1,689,036"
21 Savage-Darth Vader,3,,139,,"634,577","1,688,725"
Kendrick Lamar-Mortal Man,5,,77,,"403,001","1,686,067"
KC Rebell-GEH DEIN WEG,2,,121,,"950,293","1,682,884"
Kesha-Learn To Let Go,3,,105,,"723,176","1,682,582"
Joji-High Hopes,2,,126,,"967,692","1,681,731"
Bryson Tiller-Don't Get Too High,3,,131,,"703,061","1,680,670"
Jin-Falling,1,,115,,"1,680,564","1,680,564"
One Direction-Act My Age,9,,104,,"233,744","1,680,274"
A$AP Rocky-Tailor Swif,1,,105,,"1,679,524","1,679,524"
Lil Uzi Vert-That Fiya,1,,104,,"1,679,500","1,679,500"
Lil Uzi Vert-Pluto to Mars,1,,105,,"1,678,333","1,678,333"
Lil Tecca-Half The Plot,1,,85,,"1,677,291","1,677,291"
Mumford & Sons-Guiding Light,2,,87,,"1,023,137","1,677,167"
Big Sean-Deep Reverence,2,,125,,"904,563","1,676,871"
TOMORROW X TOGETHER-Anti-Romantic,2,,127,,"859,051","1,675,081"
Troye Sivan-WILD,5,,98,,"505,888","1,674,566"
Hozier-Empire Now,1,,110,,"1,671,735","1,671,735"
Lana Del Rey-Candy Necklace,1,,91,,"1,671,664","1,671,664"
Øneheart-snowfall,1,,87,,"1,671,440","1,671,440"
Blonde-Nothing Like This,6,,178,,"302,536","1,671,201"
Mac Miller-Do You Have A Destination?,1,,112,,"1,670,872","1,670,872"
J. Cole-everybody dies,3,,121,,"576,469","1,670,460"
Young Thug-Wit Da Racks,1,,86,,"1,670,317","1,670,317"
Sfera Ebbasta-Fragile,1,,75,,"1,669,574","1,669,574"
Morgan Wallen-Eyes Are Closed,1,,98,,"1,668,381","1,668,381"
Ski Mask The Slump God-Burn The Hoods,2,,141,,"930,658","1,667,639"
Future-Transformer,2,,101,,"984,275","1,667,493"
Rauw Alejandro-Ni Me Conozco,1,,118,,"1,666,709","1,666,709"
Os Barões Da Pisadinha-Tá Rocheda,2,,90,,"1,016,049","1,666,580"
Noah Kahan-Homesick,1,,90,,"1,664,550","1,664,550"
Future-This Sunday,1,,100,,"1,664,384","1,664,384"
Queen-I Want To Break Free - Single Remix,3,,196,,"594,548","1,664,383"
Frank Ocean-Solo,5,,163,,"362,800","1,661,812"
MKTO-Bad Girls,8,,154,,"233,395","1,661,766"
Zach Bryan-This World's A Giant,1,,104,,"1,661,501","1,661,501"
Avicii-Freak,2,,109,,"999,733","1,660,808"
Linkin Park-Friendly Fire,1,,100,,"1,660,657","1,660,657"
Natanael Cano-Diran De Mi,1,,108,,"1,660,477","1,660,477"
Meek Mill-Pullin Up,7,,91,,"342,588","1,659,711"
Arctic Monkeys-Sculptures Of Anything Goes,1,,75,,"1,659,364","1,659,364"
Miley Cyrus-More to Lose,1,,106,,"1,658,035","1,658,035"
Gunna-BLINDFOLD,2,,99,,"992,211","1,657,392"
Lana Del Rey-California,2,,123,,"933,129","1,656,731"
Zach Bryan-Tradesman,1,,93,,"1,656,417","1,656,417"
"Sam Smith-River - Recorded At RAK Studios, London",2,,126,,"930,083","1,656,111"
j-hope-Pandora's Box,1,,49,,"1,655,494","1,655,494"
Katy Perry-Smile,2,,120,,"955,219","1,654,776"
Lil Durk-AHHH HA,2,,158,,"861,104","1,653,650"
Aanysa-Burn Break Crash,5,,153,,"373,458","1,653,404"
DaBaby-XXL,2,,103,,"1,000,451","1,652,742"
The 1975-Love Me,6,,66,,"498,440","1,652,276"
One Direction-Clouds,9,,106,,"231,282","1,649,607"
SZA-My Turn,1,,147,,"1,649,377","1,649,377"
A$AP Rocky-Purity,2,,90,,"1,043,846","1,648,891"
Little Mix-Break Up Song,2,,109,,"972,617","1,648,870"
Shindy-EFH,2,,106,,"978,166","1,648,506"
Gunna-RELENTLESS,2,,148,,"906,654","1,646,249"
Sfera Ebbasta-Calcolatrici,1,,77,,"1,646,026","1,646,026"
shadowraze-showdown,2,,175,,"825,761","1,643,780"
Stray Kids-I Like It,1,,120,,"1,643,494","1,643,494"
The Living Tombstone-Five Nights at Freddy's,1,,90,,"1,642,527","1,642,527"
Lana Del Rey-How to disappear,2,,122,,"936,078","1,641,986"
Fred again..-leavemealone,1,,111,,"1,641,540","1,641,540"
Drake-4pm in Calabasas,2,,98,,"1,003,396","1,637,770"
RIN-Fabergé,2,,120,,"953,151","1,637,518"
Tony Bennett-O Christmas Tree,4,,143,,"683,905","1,637,345"
Taylor Swift-All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,1,,44,,"1,637,208","1,637,208"
DHH Music-Tu Ha Kahan,1,,78,,"1,636,767","1,636,767"
Juice WRLD-Who Shot Cupid?,2,,108,,"971,474","1,635,929"
Wiktoria-Save Me,6,,137,,"292,576","1,635,532"
Drake-Days in The East,2,,94,,"1,018,690","1,634,815"
The Strokes-Brooklyn Bridge To Chorus,2,,86,,"962,741","1,633,955"
Jason Aldean-Burnin' It Down,12,,143,,"153,963","1,633,695"
Offset-Wild Wild West,2,,127,,"920,372","1,633,022"
RM-No.2,1,,95,,"1,632,556","1,632,556"
Jin-I will come to you,1,,124,,"1,631,925","1,631,925"
Huncho Jack-How U Feel,2,,94,,"1,006,453","1,631,663"
Duke & Jones-Jiggle Jiggle,2,,194,,"859,412","1,631,206"
Joji-Normal People,2,,141,,"920,940","1,630,086"
Drake-5 Am in Toronto,2,,96,,"1,008,447","1,629,565"
Lil Uzi Vert-All Alone,1,,112,,"1,629,297","1,629,297"
Zach Bryan-Smaller Acts,1,,96,,"1,626,597","1,626,597"
Bing Crosby-Mele Kalikimaka,1,,115,,"1,626,527","1,626,527"
The 1975-Love It If We Made It,2,,74,,"1,023,478","1,626,500"
Ed Sheeran-American Town,1,,81,,"1,624,649","1,624,649"
Audioslave-Like a Stone,2,,86,,"903,592","1,624,604"
Luchè-Stamm Fort,2,,109,,"964,047","1,624,427"
Dolly Parton-Hard Candy Christmas,1,,168,,"1,624,146","1,624,146"
Meek Mill-Intro,2,,139,,"893,845","1,623,621"
Bill Withers-Lovely Day,2,,102,,"853,553","1,622,649"
Juice WRLD-AGATS2 (Insecure) [with Nicki Minaj],1,,122,,"1,622,263","1,622,263"
Burna Boy-TaTaTa,1,,97,,"1,621,844","1,621,844"
Grupo Firme-Cada Quien,2,,178,,"913,220","1,621,772"
Bad Bunny-200 Mph,2,,134,,"877,696","1,621,635"
Lil Uzi Vert-Patience,1,,113,,"1,620,397","1,620,397"
Morgan Wallen-More Surprised Than Me,2,,133,,"911,601","1,619,814"
Ariana Grande-December,5,,161,,"418,466","1,619,806"
Azet-Hallo Hallo,2,,134,,"893,184","1,618,974"
Mora-LOKITA,1,,80,,"1,618,250","1,618,250"
Conan Gray-People Watching,2,,152,,"921,446","1,617,568"
"Bleachers-Merry Christmas, Please Don't Call",1,,170,,"1,617,531","1,617,531"
The Kid LAROI-WRONG,2,,144,,"927,917","1,615,218"
